group,case_id,shear_ms,restart_h,path,frame_h,consider_level,size_of_large_box,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,crop_y1,crop_y2,crop_x1,crop_x2,box_y1,box_y2,box_x1,box_x2,box_large_y1,box_large_y2,box_large_x1,box_large_x2,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,10,5,3,13,39,39,117,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0639843,0.000215112,8.60448,17.7386,1144,15.2828,0.0232203,0.00214399,1.44934,1.55084,108,1.45887,0.0483684,0.00112816,6.86374,11.0308,776,9.65355,3.48618,0.0369062,1476.25,1476.25,7154,1470.26,3.00221,0.282063,190.674,190.674,301,190.527,3.00221,0.171723,1044.76,1044.76,3901,1043.48,326.193,314.555,1.25822e+07,1.25822e+07,40000,1.25822e+07,326.193,321.899,217604,217604,676,217604,326.193,316.144,1.92342e+06,1.92342e+06,6084,1.92342e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,11,5,3,21.2132,63.6396,63.6396,190.919,21,300,500,300,500,79,121,79,121,37,163,37,163,0.0767453,0.000190797,7.63188,17.7373,1154,14.1946,0.0767453,0.00307918,5.43168,6.30238,462,5.41813,0.0767453,0.000425595,6.75675,14.8135,988,11.5691,4.48866,0.0376199,1504.79,1504.79,7521,1499.43,4.48866,0.331068,584.004,584.004,1233,583.745,4.48866,0.0831214,1319.64,1319.64,6537,1315.65,327.382,314.678,1.25871e+07,1.25871e+07,40000,1.25871e+07,327.382,319.219,563103,563103,1764,563103,327.382,315.03,5.00141e+06,5.00141e+06,15876,5.00141e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,12,5,3,22.4722,67.4166,67.4166,202.25,22,300,500,300,500,78,122,78,122,34,166,34,166,0.0591921,0.000215304,8.61216,18.6044,1252,15.836,0.0400831,0.0026806,5.18963,6.18776,448,5.61176,0.0591921,0.00046059,8.02532,15.8506,1086,13.4787,5.07903,0.0391989,1567.96,1567.96,7697,1562.91,5.07903,0.320609,620.7,620.7,1285,620.335,5.07903,0.0792811,1381.39,1381.39,6677,1377.76,326.69,314.722,1.25889e+07,1.25889e+07,40000,1.25889e+07,326.69,319.324,618211,618211,1936,618211,326.69,314.994,5.48846e+06,5.48846e+06,17424,5.48846e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,13,5,3,13.0384,39.1152,39.1152,117.346,13,300,500,300,500,87,113,87,113,61,139,61,139,0.0720964,0.000211634,8.46536,19.2011,1179,15.9918,0.0342219,0.00215965,1.45993,1.63393,119,1.53092,0.0568599,0.00122803,7.47131,12.0079,813,10.0997,4.3632,0.0401332,1605.33,1605.33,7787,1598.43,2.54501,0.206075,139.307,139.307,359,139.017,4.3632,0.186011,1131.69,1131.69,3707,1130.19,327.338,314.609,1.25844e+07,1.25844e+07,40000,1.25844e+07,327.338,321.689,217462,217462,676,217462,327.338,316.424,1.92512e+06,1.92512e+06,6084,1.92512e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,14,5,3,19.3132,57.9396,57.9396,173.819,19,300,500,300,500,81,119,81,119,43,157,43,157,0.063258,0.000204052,8.16209,20.3834,1304,16.9624,0.0350302,0.00265386,3.83218,4.2951,289,3.9177,0.0596713,0.000544999,7.08281,14.5619,973,11.9202,4.28723,0.0417743,1670.97,1670.97,9011,1664.38,4.28723,0.284771,411.209,411.209,864,410.923,4.28723,0.101199,1315.18,1315.18,6375,1311.55,325.819,314.607,1.25843e+07,1.25843e+07,40000,1.25843e+07,325.819,319.946,462003,462003,1444,462003,325.819,315.112,4.09519e+06,4.09519e+06,12996,4.09519e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,15,5,3,9.05539,27.1662,27.1662,81.4985,9,300,500,300,500,91,109,91,109,73,127,73,127,0.0557661,0.000236998,9.47992,23.2418,1435,19.1383,0.00382514,-0.000162195,-0.0525512,0.00594266,0,0,0.0495838,0.00229849,6.7024,8.85194,579,8.16526,3.1937,0.04689,1875.6,1875.6,9631,1867.44,2.57294,0.104551,33.8744,33.8744,136,33.7448,3.1937,0.288246,840.526,840.526,1930,839.767,327.103,314.474,1.2579e+07,1.2579e+07,40000,1.2579e+07,327.103,323.588,104843,104843,324,104843,327.103,317.754,926571,926571,2916,926571
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,16,5,3,15.6205,46.8615,46.8615,140.584,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0590752,0.000239423,9.57693,24.5094,1451,19.8299,0.0363785,0.00306431,3.13786,3.44745,228,3.14233,0.0590752,0.000812972,7.49235,14.6136,923,11.7587,3.41129,0.0444488,1777.95,1777.95,10137,1769.77,1.73879,0.2755,282.112,282.112,589,281.931,3.2502,0.132105,1217.48,1217.48,5126,1214.64,326.516,314.45,1.2578e+07,1.2578e+07,40000,1.2578e+07,326.516,320.287,327974,327974,1024,327974,326.516,315.213,2.905e+06,2.905e+06,9216,2.905e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,17,5,3,20.025,60.075,60.075,180.225,20,300,500,300,500,80,120,80,120,40,160,40,160,0.0803797,0.000226934,9.07735,24.0246,1489,18.9698,0.0298911,0.000917833,1.46853,3.16885,245,2.65523,0.0803797,0.000615228,8.85928,18.3283,1156,14.2419,3.13288,0.0452834,1811.34,1811.34,11115,1802.61,1.85135,0.19945,319.12,319.12,1072,318.71,3.13288,0.101006,1454.49,1454.49,8028,1450.19,327.069,314.338,1.25735e+07,1.25735e+07,40000,1.25735e+07,327.069,318.479,509567,509567,1600,509567,327.069,314.727,4.53208e+06,4.53208e+06,14400,4.53208e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,18,5,3,19.7231,59.1692,59.1692,177.508,20,300,500,300,500,80,120,80,120,40,160,40,160,0.0760589,0.000239607,9.58427,23.7083,1425,18.7449,0.0327756,0.00100713,1.6114,2.35635,189,1.69649,0.0749961,0.00054367,7.82885,15.1915,951,11.4786,4.79189,0.0466985,1867.94,1867.94,11722,1858.52,2.80563,0.132658,212.253,212.253,965,211.92,4.79189,0.0937052,1349.35,1349.35,7565,1344.95,326.257,314.312,1.25725e+07,1.25725e+07,40000,1.25725e+07,326.257,318.247,509196,509196,1600,509196,326.257,314.78,4.53283e+06,4.53283e+06,14400,4.53283e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,19,5,3,9.48683,28.4605,28.4605,85.3815,9,300,500,300,500,91,109,91,109,73,127,73,127,0.0785863,0.000192945,7.71782,22.0725,1337,17.0535,0.0112211,-0.000161464,-0.0523145,0.0281069,2,0.0181884,0.021232,0.00119643,3.4888,4.67878,338,3.37822,3.41047,0.0464169,1856.67,1856.67,11599,1847.57,1.52317,0.10728,34.7586,34.7586,97,34.678,1.88002,0.153525,447.679,447.679,1611,446.819,326.357,314.348,1.25739e+07,1.25739e+07,40000,1.25739e+07,326.357,323.008,104655,104655,324,104655,326.357,317.081,924608,924608,2916,924608
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,20,5,3,16.4924,49.4773,49.4773,148.432,16,300,500,300,500,84,116,84,116,52,148,52,148,0.0657059,0.00028272,11.3088,24.9276,1585,19.3162,0.0229749,0.00216405,2.21598,2.40736,187,1.84045,0.0485409,0.000817856,7.53736,11.0901,786,7.73304,3.08182,0.0453215,1812.86,1812.86,11859,1802.61,1.18446,0.179602,183.912,183.912,585,183.623,3.08182,0.0967856,891.976,891.976,4546,889.212,326.898,314.401,1.2576e+07,1.2576e+07,40000,1.2576e+07,326.898,320.416,328106,328106,1024,328106,326.898,315.588,2.90846e+06,2.90846e+06,9216,2.90846e+06
weak,weak_8mshear_restart54h,8,54,wrf_ideal_8mshear_restart_at_54h_28sst_minsetup_largeTC_d2.nc,21,5,3,18.4391,55.3173,55.3173,165.952,18,300,500,300,500,82,118,82,118,46,154,46,154,0.0640622,0.000233171,9.32684,22.4648,1469,17.6543,0.0216429,0.00248117,3.2156,3.52724,313,3.23418,0.0448554,0.000582446,6.79365,11.3376,798,8.46321,3.31149,0.0421991,1687.97,1687.97,12295,1678.77,2.08243,0.200128,259.366,259.366,732,258.994,3.31149,0.0858471,1001.32,1001.32,5969,998.453,326.477,314.462,1.25785e+07,1.25785e+07,40000,1.25785e+07,326.477,319.773,414426,414426,1296,414426,326.477,315.321,3.67791e+06,3.67791e+06,11664,3.67791e+06
