group,n_cases,frame_h,rmw_grid,rmw_km,three_rmw_grid,three_rmw_km,box_half_width_grid,heating_max,heating_mean,heating_sum,heating_positive_sum,heating_n_above_threshold,heating_sum_above_threshold,heating_box_max,heating_box_mean,heating_box_sum,heating_box_positive_sum,heating_box_n_above_threshold,heating_box_sum_above_threshold,heating_box_large_max,heating_box_large_mean,heating_box_large_sum,heating_box_large_positive_sum,heating_box_large_n_above_threshold,heating_box_large_sum_above_threshold,rain_max,rain_mean,rain_sum,rain_positive_sum,rain_n_above_threshold,rain_sum_above_threshold,rain_box_max,rain_box_mean,rain_box_sum,rain_box_positive_sum,rain_box_n_above_threshold,rain_box_sum_above_threshold,rain_box_large_max,rain_box_large_mean,rain_box_large_sum,rain_box_large_positive_sum,rain_box_large_n_above_threshold,rain_box_large_sum_above_threshold,theta_max,theta_mean,theta_sum,theta_positive_sum,theta_n_above_threshold,theta_sum_above_threshold,theta_box_max,theta_box_mean,theta_box_sum,theta_box_positive_sum,theta_box_n_above_threshold,theta_box_sum_above_threshold,theta_box_large_max,theta_box_large_mean,theta_box_large_sum,theta_box_large_positive_sum,theta_box_large_n_above_threshold,theta_box_large_sum_above_threshold,rain_RMW_to_3RMW_ratio,heating_RMW_to_3RMW_ratio
weak,5,10,17.583,52.749,52.749,158.247,17.6,0.0591693,0.000215012,8.60049,18.6974,1221.8,15.6011,0.0364693,0.00284265,3.68151,4.12268,285.2,3.76013,0.0526089,0.000759661,8.11062,14.9581,1011.4,12.3614,3.73172,0.0387014,1548.06,1548.06,7861.2,1542.44,3.3101,0.30669,390.108,390.108,703.8,389.844,3.63492,0.122102,1318.54,1318.54,6047.2,1315.6,328.028,314.568,1.25827e+07,1.25827e+07,40000,1.25827e+07,328.028,320.482,404361,404361,1262.4,404361,328.028,315.415,3.58258e+06,3.58258e+06,11361.6,3.58258e+06,0.295863,0.453913
weak,5,11,18.6187,55.8561,55.8561,167.568,18.6,0.0688244,0.000216977,8.67906,19.8477,1243.8,16.2139,0.049597,0.00274053,3.77786,4.58192,323.6,4.16312,0.0653243,0.000706477,8.39271,15.9232,1028.8,12.9296,3.89995,0.0400977,1603.91,1603.91,8302.8,1597.42,3.51414,0.305612,431.881,431.881,888.8,431.573,3.88261,0.112091,1358.39,1358.39,6362.6,1354.91,327.205,314.657,1.25863e+07,1.25863e+07,40000,1.25863e+07,327.205,320.155,450788,450788,1408.8,450788,327.205,315.517,3.99914e+06,3.99914e+06,12679.2,3.99914e+06,0.317935,0.450136
weak,5,12,17.1346,51.4037,51.4037,154.211,17,0.0713169,0.000236846,9.47386,21.044,1341.4,17.8609,0.0333228,0.00260947,3.00826,3.54309,259.6,3.22245,0.0607751,0.000774512,7.55936,14.0415,956.2,11.9574,4.53249,0.0416325,1665.3,1665.3,8416.2,1658.84,3.37211,0.323148,369.771,369.771,722,369.465,4.45114,0.125015,1235.41,1235.41,5353.6,1232.84,327.354,314.718,1.25887e+07,1.25887e+07,40000,1.25887e+07,327.354,320.187,379220,379220,1184.8,379220,327.354,315.784,3.36564e+06,3.36564e+06,10663.2,3.36564e+06,0.299311,0.397951
weak,5,13,13.2024,39.6071,39.6071,118.821,13.2,0.0687736,0.000228512,9.14049,21.3815,1312.2,17.9317,0.0243941,0.00196199,1.62153,1.87449,131.6,1.71683,0.0527557,0.00119804,6.3096,10.9209,729.2,9.20024,4.32719,0.0423713,1694.85,1694.85,8735.4,1687.74,2.286,0.22943,180.545,180.545,397.8,180.279,3.8059,0.177086,1001.83,1001.83,3861.6,999.983,327.039,314.624,1.2585e+07,1.2585e+07,40000,1.2585e+07,326.507,321.085,240271,240271,748.8,240271,327.039,316.77,2.13113e+06,2.13113e+06,6739.2,2.13113e+06,0.180215,0.256994
weak,5,14,16.8845,50.6535,50.6535,151.96,16.6,0.0678769,0.000217362,8.69447,21.9813,1402.6,18.2993,0.0360655,0.00258832,2.78718,3.34455,226.2,3.00593,0.0537051,0.000755979,7.05185,13.3717,923.4,11.0065,3.82695,0.0447575,1790.3,1790.3,9393,1782.88,2.83739,0.300449,318.38,318.38,680.8,318.117,3.67225,0.130839,1246.15,1246.15,5413.2,1243.3,326.877,314.555,1.25822e+07,1.25822e+07,40000,1.25822e+07,326.835,320.229,362887,362887,1133.6,362887,326.877,315.76,3.21975e+06,3.21975e+06,10202.4,3.21975e+06,0.255491,0.395241
weak,5,15,17.182,51.5461,51.5461,154.638,17.2,0.0680019,0.000204567,8.18269,22.2803,1400.8,18.2562,0.0380237,0.00194658,2.97946,3.60052,253.8,3.21048,0.0633473,0.000903157,7.08386,13.1824,878.4,10.6746,3.66438,0.044526,1781.04,1781.04,10221.4,1772.54,2.81195,0.245215,339.463,339.463,825,339.173,3.31304,0.132943,1157.44,1157.44,5555,1154.2,327.041,314.423,1.25769e+07,1.25769e+07,40000,1.25769e+07,326.889,320.272,405573,405573,1268.8,405573,327.041,315.711,3.6001e+06,3.6001e+06,11419.2,3.6001e+06,0.293287,0.420598
weak,5,16,15.5498,46.6495,46.6495,139.948,15.6,0.0711139,0.000245618,9.82473,24.4404,1491,20.0447,0.029345,0.00165423,1.89312,2.27157,177.8,2.00844,0.0711139,0.000852952,7.10657,12.408,818.2,9.91104,3.44505,0.0452847,1811.39,1811.39,10611,1802.74,1.93444,0.188767,198.18,198.18,553.8,197.952,3.27445,0.125755,1063,1063,4665.8,1060.59,325.997,314.457,1.25783e+07,1.25783e+07,40000,1.25783e+07,325.997,320.257,320849,320849,1001.6,320849,325.997,315.893,2.84661e+06,2.84661e+06,9014.4,2.84661e+06,0.186435,0.26639
weak,5,17,16.7064,50.1191,50.1191,150.357,16.6,0.0712896,0.000212716,8.50863,22.4679,1416.2,17.9886,0.0218194,0.000612742,1.01075,1.72505,129.8,1.35741,0.0531264,0.000674207,6.40489,12.1195,821.2,9.44119,3.77868,0.0426346,1705.38,1705.38,10784.8,1696.64,1.50698,0.153642,194.087,194.087,651,193.763,3.24103,0.106688,1037.83,1037.83,5388,1035.1,326.95,314.45,1.2578e+07,1.2578e+07,40000,1.2578e+07,326.95,320.357,372268,372268,1164,372268,326.95,315.777,3.30437e+06,3.30437e+06,10476,3.30437e+06,0.187012,0.157809
weak,5,18,13.464,40.3919,40.3919,121.176,13.4,0.0765431,0.000229918,9.19672,22.5671,1398.6,18.2508,0.0220884,0.000891547,0.707809,0.991592,77.6,0.740644,0.0444024,0.000971665,5.8079,9.43682,646.4,7.29221,3.77454,0.0439164,1756.66,1756.66,11276.8,1747.71,2.41706,0.146111,105.669,105.669,416.4,105.457,3.14538,0.126806,837.04,837.04,3975,834.977,327.091,314.487,1.25795e+07,1.25795e+07,40000,1.25795e+07,327.091,321.021,254071,254071,792.8,254071,327.091,316.542,2.25408e+06,2.25408e+06,7135.2,2.25408e+06,0.126241,0.12187
weak,5,19,16.7047,50.1142,50.1142,150.343,16.8,0.0704098,0.000198907,7.95629,21.076,1340.8,16.6468,0.0225413,0.000926279,1.45969,1.97239,150.6,1.54253,0.045304,0.000715835,5.85781,10.4311,734.4,7.88227,3.03844,0.0419978,1679.91,1679.91,11140.6,1670.93,1.90827,0.131155,174.059,174.059,696.8,173.791,2.57074,0.106574,930.385,930.385,5077.8,927.654,326.415,314.526,1.2581e+07,1.2581e+07,40000,1.2581e+07,326.415,320.425,401856,401856,1259.2,401856,326.415,316.005,3.57558e+06,3.57558e+06,11332.8,3.57558e+06,0.187082,0.249187
weak,5,20,17.1052,51.3156,51.3156,153.947,17,0.0681901,0.000242336,9.69346,22.1708,1407.6,17.6829,0.0232077,0.00129468,1.43858,1.84245,141.6,1.43093,0.0459658,0.000703893,7.29732,11.7352,812.6,8.96255,3.30522,0.042061,1682.44,1682.44,11219.8,1673.72,1.75963,0.136246,160.286,160.286,664.8,159.976,3.17793,0.0969628,1010.7,1010.7,5179.6,1008.05,326.401,314.539,1.25816e+07,1.25816e+07,40000,1.25816e+07,326.401,320.018,371837,371837,1162.4,371837,326.401,315.802,3.30359e+06,3.30359e+06,10461.6,3.30359e+06,0.158588,0.197138
weak,5,21,16.4776,49.4328,49.4328,148.298,16.2,0.0607337,0.000226407,9.05626,20.7581,1358,16.6403,0.0243299,0.00147246,1.68409,2.02268,164.4,1.73663,0.0514315,0.000699652,6.36094,10.2838,725.2,8.1094,3.7927,0.0418571,1674.28,1674.28,10931.6,1665.23,1.9472,0.153919,174.362,174.362,610.2,174.043,3.41223,0.106146,953.352,953.352,4805.2,950.806,326.293,314.655,1.25862e+07,1.25862e+07,40000,1.25862e+07,326.293,320.43,347991,347991,1087.2,347991,326.293,316.11,3.09089e+06,3.09089e+06,9784.8,3.09089e+06,0.182894,0.264755
weak,5,22,17.0401,51.1202,51.1202,153.361,17.2,0.0696801,0.000248412,9.93647,21.4078,1344.6,17.1028,0.0331416,0.00129984,1.72008,2.17399,143.2,1.91686,0.0548563,0.000708155,7.32898,12.1641,808,9.7491,3.88723,0.0424307,1697.23,1697.23,10294.6,1688.38,2.49614,0.151276,197.178,197.178,668.6,196.79,3.75913,0.107254,1121.24,1121.24,5123.4,1118.23,325.854,314.759,1.25903e+07,1.25903e+07,40000,1.25903e+07,325.854,320.485,395804,395804,1236.8,395804,325.854,316.078,3.51662e+06,3.51662e+06,11131.2,3.51662e+06,0.175858,0.234696
weak,5,23,14.3852,43.1556,43.1556,129.467,14.4,0.0599201,0.000234491,9.37963,20.5674,1324.4,16.5722,0.0275896,0.000815985,1.00312,1.34236,84,1.1516,0.0510195,0.000939378,6.39748,10.3449,704.8,8.6301,4.0246,0.0429531,1718.12,1718.12,10304.8,1709.97,2.36245,0.117563,122.289,122.289,422.6,121.974,4.0246,0.13882,964.531,964.531,4056,962.426,325.279,314.838,1.25935e+07,1.25935e+07,40000,1.25935e+07,325.279,321.161,287534,287534,897.6,287534,325.279,316.635,2.55442e+06,2.55442e+06,8078.4,2.55442e+06,0.126786,0.1568
